datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,City,Temp_Range,Heat_Index,Severity_Score,Condition_Code,Month,Season,Day_of_Week,Is_Weekend,Health_Risk_Score,Air_Quality
2024-09-07,0.04883894923978005,0.9629080691788374,0.9850555949324253,0.9694901880363702,0.9752607515584784,0.9686732896155976,0.9432816305786162,0.5008883054952461,0.11458544163618373,0.043038906857239885,0.0996118459772872,0.07033893594302096,,0.0,0.0,0.7596072356673571,0.6234670311743296,0.28092479403431536,0.28964062233168875,0.27740152328479667,0.23455703405422978,0.7275653041546827,0.753996105863915,0.8875362190202837,0.04596837975982718,06:06:50,0.03538993853703687,18:44:53,0.05541061989492846,0.069403649903437,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KSDL', 'KDVT', 'AZM15', 'KPHX']",comb,Phoenix,0.4774607563748324,0.9754444018251283,0.7966205136860911,,0.0,Fall,Saturday,True,0.6780955570466247,0
2024-09-08,0.11067392340942206,0.9148332136747168,0.8909984273579148,0.8995179254995496,0.8935876314134166,0.8847968420808114,0.8542722204215969,0.4453182563203886,0.12078067892359001,0.043038906857239885,0.08133711113516892,0.07033893594302096,,0.0,0.0,0.5764024584471832,0.5598051579455686,0.2637290981774702,0.2764028421549014,0.1688909234253647,0.2479540151231041,0.8191677103269474,0.844713039794972,0.8875362190202837,0.04596837975982718,06:07:30,0.10069202866066007,18:43:32,0.11974931571126035,0.1264384885344016,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,0.5414854090473756,0.858758586139794,0.6429919760720377,0.0,0.0,Fall,Sunday,True,0.5244725942753523,0
2024-09-09,0.1725088975788367,0.9388706414267771,0.8181041224876691,0.8837177371847835,0.879586525102835,0.8083212575638004,0.8122399989585598,0.30639313338324436,0.0637844958794522,0.043038906857239885,0.053925008871991496,0.07033893594302096,,0.0,0.0,0.4931275597107405,0.38296662119901037,0.23200600409673855,0.29625951242007886,0.1000102817754644,0.2479540151231041,0.9159389043083052,0.945509633051702,0.8875362190202837,0.04596837975982718,06:08:10,0.1659941187840559,18:42:10,0.18408726616826243,0.18347332716536613,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,0.6908762652833087,0.8047958968656497,0.5731608226111045,0.0,0.0,Fall,Monday,False,0.394533764839188,0
2024-09-10,0.2343438717484787,0.9629080691788374,0.7546155343748744,0.8656603791107658,0.8959211491318471,0.7565152164393738,0.7924601300347778,0.25479237343516226,0.04891592638967715,0.06738564817840727,0.053925008871991496,0.22187004647323325,['rain'],0.0,0.0,0.23330987565303926,0.036363089175756036,0.34852166740260326,0.21021394127098603,0.08774386613918078,0.5694815607760904,0.7717871554102588,0.80439440249228,0.8875362190202837,0.04596837975982718,06:08:49,0.2312954534461369,18:40:48,0.2484252166252645,0.24050816579633072,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,0.8260394209253437,0.773988137778487,0.3556228133496051,0.0,0.0,Fall,Tuesday,False,0.30704919268548414,1
2024-09-11,0.29617884591789334,0.9629080691788374,0.775778397079139,0.8679175488700179,0.9052552200055686,0.7688499881356659,0.7974050972657234,0.27463881956904,0.05139402130463969,0.05927006773801814,0.053925008871991496,0.22187004647323325,['rain'],0.0,0.0,0.41318365692375547,0.22734870886203895,0.5605030904654361,0.044741689061197576,0.09529242960766302,0.9044060874979509,0.7663312127228824,0.794314743166607,0.8875362190202837,0.04596837975982718,06:09:29,0.2965975435695327,18:39:26,0.3127631670820392,0.3165546173042834,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,0.7940270945890725,0.7778891142545952,0.5063463749796835,0.0,0.0,Fall,Wednesday,False,0.3416796414450509,1
2024-09-12,0.35801382008753535,0.8951662273321217,0.7640212511323252,0.8114883048887112,0.8375832061710888,0.7663830337964075,0.7454829413407955,0.3044084887698566,0.08237020774167106,0.043038906857239885,0.053925008871991496,0.07033893594302096,,0.0,0.0,0.5997194300933871,0.4112607870784596,0.5613925230097557,0.011647238619239886,0.07925173223713829,0.9044060874979509,0.7600138054006573,0.790954856724716,0.8875362190202837,0.04596837975982718,06:10:09,0.3618996336931559,18:38:04,0.3771011175390413,0.373589455935248,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,0.7015470407287331,0.7086772148009564,0.6625446990410992,0.0,0.0,Fall,Thursday,False,0.3322960353381079,1
2024-09-13,0.41984879425695,0.8558322546469319,0.6699640835578144,0.7618305701851609,0.8095809935499247,0.7096430839934635,0.708395687108704,0.32425493490373436,0.10715115689129617,0.043038906857239885,0.053925008871991496,0.07033893594302096,,0.0,0.0,0.3598877217324322,0.16368683563327802,0.5347095466801683,0.19366671605001073,0.10944598611106718,0.9044060874979509,0.7508248492956026,0.7741554245152611,0.8875362190202837,0.04596837975982718,06:10:49,0.42720172381655175,18:36:41,0.4414383226362588,0.44963590744320076,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,0.7797993939951744,0.6482706012256405,0.46143097707361136,0.0,0.0,Fall,Friday,False,0.2467105798668663,1
2024-09-14,0.481683768426592,0.8164982819617421,0.6840726586939911,0.7573162306666565,0.7909128518024822,0.7244448100290144,0.7182856215705948,0.43936432248022517,0.1678644823078777,0.05115448729762901,0.10874921339834634,0.22187004647323325,['rain'],0.0,0.0,0.28660581084436254,0.036363089175756036,0.6292858738928169,0.27309339711070635,0.13209167651651385,0.9044060874979509,0.7307240078157953,0.7573559923058061,0.8875362190202837,0.04596837975982718,06:11:29,0.49250381394017495,18:35:19,0.5057762730932609,0.5066707460741653,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,0.6944331904317836,0.6608657878002004,0.40009129187352743,0.0,0.0,Fall,Saturday,True,0.2941411124458404,1
2024-09-15,0.543518742596234,0.8317948268948712,0.775778397079139,0.8227741536849724,0.8959211491318471,0.805854303224542,0.8542722204215969,0.6755370314733701,0.29796446534340953,0.06738564817840727,0.17179704860365438,0.22187004647323325,['rain'],0.0,0.0,0.5164445313569445,0.47492266030722063,0.7167467407509087,0.22676116649196842,0.05849318269881217,0.7704362768092066,0.7232579809804383,0.747276332980133,0.7908505789717377,0.4148336442596403,06:12:09,0.5578059040635708,18:33:56,0.5701134781904784,0.56370558470513,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,0.5806115856805961,0.8551101695929719,0.5371838123480317,0.0,0.0,Fall,Sunday,True,0.6607293682849984,0
2024-09-16,0.6053537167656486,0.8208687233712073,0.8698355646536495,0.8272884932034767,0.874919489665974,0.9514046092407891,0.8715796057299063,0.713245279127738,0.3227454144930346,0.043038906857239885,0.17179704860365438,0.07033893594302096,,0.0,0.0,0.4731415840139942,0.5102903676565322,0.6224668910530334,0.21021394127098603,0.15662450778908107,0.9044060874979509,0.681333368751126,0.713677468561223,0.7908505789717377,0.4148336442596403,06:12:49,0.623107994187194,18:32:33,0.6344506832876959,0.6397520362130826,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,0.42054995399923883,0.8885167560896354,0.500536423011734,0.0,0.0,Fall,Monday,False,0.7023447371991454,0
